run_id,status,split,kind,ordinal,model,session_name,video_path,labels_path,duration_s,runtime_s,buffer_s,prediction_rows,active_video_model,resolved_model_name,result_dir,started_at_iso,ended_at_iso,error
calibration_fake_only_02__videomae,success,calibration,fake_only,2,videomae,calibration_fake_only_02__videomae,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_02.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_02_labels.csv,600.333,600.333,15.0,2416,videomae,VideoMAE DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_fake_only_02__videomae,2026-04-15T00:44:43Z,2026-04-15T00:55:20Z,
calibration_fake_only_02__xception_df40,success,calibration,fake_only,2,xception_df40,calibration_fake_only_02__xception_df40,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_02.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_02_labels.csv,600.333,600.333,15.0,4158,xception_df40,Xception DF40,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_fake_only_02__xception_df40,2026-04-14T23:51:55Z,2026-04-15T00:02:26Z,
calibration_mixed_01__efficientnet_b4,success,calibration,mixed,1,efficientnet_b4,calibration_mixed_01__efficientnet_b4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_01.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_01_labels.csv,602.333,602.333,15.0,3106,efficientnet_b4,EfficientNet-B4 DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_01__efficientnet_b4,2026-04-15T01:16:36Z,2026-04-15T01:27:12Z,
calibration_mixed_01__effort_clip_l14,success,calibration,mixed,1,effort_clip_l14,calibration_mixed_01__effort_clip_l14,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_01.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_01_labels.csv,602.333,602.333,15.0,2949,effort_clip_l14,Effort CLIP-L14,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_01__effort_clip_l14,2026-04-15T01:05:55Z,2026-04-15T01:16:36Z,
calibration_mixed_01__f3net,success,calibration,mixed,1,f3net,calibration_mixed_01__f3net,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_01.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_01_labels.csv,602.333,602.333,15.0,2985,f3net,F3Net DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_01__f3net,2026-04-15T01:27:12Z,2026-04-15T01:37:47Z,
calibration_mixed_01__i3d,success,calibration,mixed,1,i3d,calibration_mixed_01__i3d,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_01.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_01_labels.csv,602.333,602.333,15.0,3425,i3d,I3D DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_01__i3d,2026-04-15T01:37:47Z,2026-04-15T01:48:21Z,
calibration_mixed_01__videomae,success,calibration,mixed,1,videomae,calibration_mixed_01__videomae,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_01.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_01_labels.csv,602.333,602.333,15.0,2682,videomae,VideoMAE DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_01__videomae,2026-04-15T01:48:21Z,2026-04-15T01:59:01Z,
calibration_mixed_01__xception_df40,success,calibration,mixed,1,xception_df40,calibration_mixed_01__xception_df40,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_01.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_01_labels.csv,602.333,602.333,15.0,3639,xception_df40,Xception DF40,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_01__xception_df40,2026-04-15T00:55:20Z,2026-04-15T01:05:55Z,
calibration_mixed_02__efficientnet_b4,success,calibration,mixed,2,efficientnet_b4,calibration_mixed_02__efficientnet_b4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_02.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_02_labels.csv,605.9,605.9,15.0,2274,efficientnet_b4,EfficientNet-B4 DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_02__efficientnet_b4,2026-04-15T02:20:22Z,2026-04-15T02:31:04Z,
calibration_mixed_02__effort_clip_l14,success,calibration,mixed,2,effort_clip_l14,calibration_mixed_02__effort_clip_l14,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_02.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_02_labels.csv,605.9,605.9,15.0,3261,effort_clip_l14,Effort CLIP-L14,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_02__effort_clip_l14,2026-04-15T02:09:40Z,2026-04-15T02:20:22Z,
calibration_mixed_02__f3net,success,calibration,mixed,2,f3net,calibration_mixed_02__f3net,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_02.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_02_labels.csv,605.9,605.9,15.0,3367,f3net,F3Net DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_02__f3net,2026-04-15T02:31:04Z,2026-04-15T02:41:44Z,
calibration_mixed_02__i3d,success,calibration,mixed,2,i3d,calibration_mixed_02__i3d,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_02.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_02_labels.csv,605.9,605.9,15.0,2830,i3d,I3D DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_02__i3d,2026-04-15T02:41:44Z,2026-04-15T02:52:24Z,
calibration_mixed_02__videomae,success,calibration,mixed,2,videomae,calibration_mixed_02__videomae,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_02.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_02_labels.csv,605.9,605.9,15.0,6063,videomae,VideoMAE DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_02__videomae,2026-04-15T08:01:34Z,2026-04-15T08:12:21Z,
calibration_mixed_02__xception_df40,success,calibration,mixed,2,xception_df40,calibration_mixed_02__xception_df40,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_02.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_02_labels.csv,605.9,605.9,15.0,2900,xception_df40,Xception DF40,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_02__xception_df40,2026-04-15T01:59:01Z,2026-04-15T02:09:40Z,
calibration_mixed_03__efficientnet_b4,success,calibration,mixed,3,efficientnet_b4,calibration_mixed_03__efficientnet_b4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_03.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_03_labels.csv,603.333,603.333,15.0,2494,efficientnet_b4,EfficientNet-B4 DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_03__efficientnet_b4,2026-04-15T03:14:03Z,2026-04-15T03:24:43Z,
calibration_mixed_03__effort_clip_l14,success,calibration,mixed,3,effort_clip_l14,calibration_mixed_03__effort_clip_l14,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_03.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_03_labels.csv,603.333,603.333,15.0,2854,effort_clip_l14,Effort CLIP-L14,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_03__effort_clip_l14,2026-04-15T03:03:21Z,2026-04-15T03:14:03Z,
calibration_mixed_03__f3net,success,calibration,mixed,3,f3net,calibration_mixed_03__f3net,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_03.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_03_labels.csv,603.333,603.333,15.0,3439,f3net,F3Net DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_03__f3net,2026-04-15T03:24:43Z,2026-04-15T03:35:23Z,
calibration_mixed_03__i3d,success,calibration,mixed,3,i3d,calibration_mixed_03__i3d,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_03.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_03_labels.csv,603.333,603.333,15.0,2839,i3d,I3D DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_03__i3d,2026-04-15T03:35:23Z,2026-04-15T03:46:01Z,
calibration_mixed_03__videomae,success,calibration,mixed,3,videomae,calibration_mixed_03__videomae,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_03.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_03_labels.csv,603.333,603.333,15.0,2783,videomae,VideoMAE DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_03__videomae,2026-04-15T03:46:01Z,2026-04-15T03:56:43Z,
calibration_mixed_03__xception_df40,success,calibration,mixed,3,xception_df40,calibration_mixed_03__xception_df40,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_03.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_03_labels.csv,603.333,603.333,15.0,3350,xception_df40,Xception DF40,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_03__xception_df40,2026-04-15T02:52:44Z,2026-04-15T03:03:21Z,
calibration_mixed_04__efficientnet_b4,success,calibration,mixed,4,efficientnet_b4,calibration_mixed_04__efficientnet_b4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_04.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_04_labels.csv,600.4,600.4,15.0,2295,efficientnet_b4,EfficientNet-B4 DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_04__efficientnet_b4,2026-04-15T04:18:02Z,2026-04-15T04:28:37Z,
calibration_mixed_04__effort_clip_l14,success,calibration,mixed,4,effort_clip_l14,calibration_mixed_04__effort_clip_l14,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_04.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_04_labels.csv,600.4,600.4,15.0,2743,effort_clip_l14,Effort CLIP-L14,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_04__effort_clip_l14,2026-04-15T04:07:21Z,2026-04-15T04:18:02Z,
calibration_mixed_04__f3net,success,calibration,mixed,4,f3net,calibration_mixed_04__f3net,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_04.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_04_labels.csv,600.4,600.4,15.0,5759,f3net,F3Net DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_04__f3net,2026-04-15T04:28:38Z,2026-04-15T04:39:13Z,
calibration_mixed_04__i3d,success,calibration,mixed,4,i3d,calibration_mixed_04__i3d,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_04.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_04_labels.csv,600.4,600.4,15.0,7398,i3d,I3D DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_04__i3d,2026-04-15T04:39:13Z,2026-04-15T04:49:45Z,
calibration_mixed_04__videomae,success,calibration,mixed,4,videomae,calibration_mixed_04__videomae,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_04.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_04_labels.csv,600.4,600.4,15.0,5902,videomae,VideoMAE DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_04__videomae,2026-04-15T04:49:45Z,2026-04-15T05:00:19Z,
calibration_mixed_04__xception_df40,success,calibration,mixed,4,xception_df40,calibration_mixed_04__xception_df40,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_04.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_04_labels.csv,600.4,600.4,15.0,2769,xception_df40,Xception DF40,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_04__xception_df40,2026-04-15T03:56:44Z,2026-04-15T04:07:21Z,
calibration_real_only_01__efficientnet_b4,success,calibration,real_only,1,efficientnet_b4,calibration_real_only_01__efficientnet_b4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_real_only_01.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_real_only_01_labels.csv,600.233,600.233,15.0,6023,efficientnet_b4,EfficientNet-B4 DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_real_only_01__efficientnet_b4,2026-04-15T05:11:23Z,2026-04-15T05:21:56Z,
calibration_real_only_01__effort_clip_l14,success,calibration,real_only,1,effort_clip_l14,calibration_real_only_01__effort_clip_l14,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_real_only_01.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_real_only_01_labels.csv,600.233,600.233,15.0,7443,effort_clip_l14,Effort CLIP-L14,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_real_only_01__effort_clip_l14,2026-04-15T08:12:34Z,2026-04-15T08:23:15Z,
calibration_real_only_01__f3net,success,calibration,real_only,1,f3net,calibration_real_only_01__f3net,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_real_only_01.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_real_only_01_labels.csv,600.233,600.233,15.0,7586,f3net,F3Net DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_real_only_01__f3net,2026-04-15T05:21:56Z,2026-04-15T05:32:28Z,
calibration_real_only_01__i3d,success,calibration,real_only,1,i3d,calibration_real_only_01__i3d,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_real_only_01.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_real_only_01_labels.csv,600.233,600.233,15.0,7850,i3d,I3D DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_real_only_01__i3d,2026-04-15T05:32:28Z,2026-04-15T05:43:00Z,
calibration_real_only_01__videomae,success,calibration,real_only,1,videomae,calibration_real_only_01__videomae,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_real_only_01.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_real_only_01_labels.csv,600.233,600.233,15.0,6594,videomae,VideoMAE DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_real_only_01__videomae,2026-04-15T05:43:00Z,2026-04-15T05:53:34Z,
calibration_real_only_01__xception_df40,success,calibration,real_only,1,xception_df40,calibration_real_only_01__xception_df40,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_real_only_01.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_real_only_01_labels.csv,600.233,600.233,15.0,7871,xception_df40,Xception DF40,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_real_only_01__xception_df40,2026-04-15T05:00:19Z,2026-04-15T05:11:05Z,
calibration_real_only_02__efficientnet_b4,success,calibration,real_only,2,efficientnet_b4,calibration_real_only_02__efficientnet_b4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_real_only_02.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_real_only_02_labels.csv,603.533,603.533,15.0,6596,efficientnet_b4,EfficientNet-B4 DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_real_only_02__efficientnet_b4,2026-04-15T06:14:48Z,2026-04-15T06:25:24Z,
calibration_real_only_02__effort_clip_l14,success,calibration,real_only,2,effort_clip_l14,calibration_real_only_02__effort_clip_l14,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_real_only_02.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_real_only_02_labels.csv,603.533,603.533,15.0,7246,effort_clip_l14,Effort CLIP-L14,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_real_only_02__effort_clip_l14,2026-04-15T06:04:09Z,2026-04-15T06:14:47Z,
calibration_real_only_02__f3net,success,calibration,real_only,2,f3net,calibration_real_only_02__f3net,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_real_only_02.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_real_only_02_labels.csv,603.533,603.533,15.0,7854,f3net,F3Net DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_real_only_02__f3net,2026-04-15T06:25:24Z,2026-04-15T06:35:59Z,
calibration_real_only_02__i3d,success,calibration,real_only,2,i3d,calibration_real_only_02__i3d,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_real_only_02.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_real_only_02_labels.csv,603.533,603.533,15.0,7689,i3d,I3D DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_real_only_02__i3d,2026-04-15T06:35:59Z,2026-04-15T06:46:33Z,
calibration_real_only_02__videomae,success,calibration,real_only,2,videomae,calibration_real_only_02__videomae,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_real_only_02.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_real_only_02_labels.csv,603.533,603.533,15.0,6268,videomae,VideoMAE DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_real_only_02__videomae,2026-04-15T06:46:33Z,2026-04-15T06:57:26Z,
calibration_real_only_02__xception_df40,success,calibration,real_only,2,xception_df40,calibration_real_only_02__xception_df40,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_real_only_02.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_real_only_02_labels.csv,603.533,603.533,15.0,7877,xception_df40,Xception DF40,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_real_only_02__xception_df40,2026-04-15T05:53:34Z,2026-04-15T06:04:09Z,
